Timestamp,Decision,College,Major,GPA,Hours,Residency,CAP
6/28/20 10:19,Admitted,COLA,Sociology,3.65,32,In state,Yes
6/29/20 15:44,Admitted,COLA,Economics,3.49,29,In state,No
6/29/20 15:46,Admitted,Education,Special Education,3.78,25,In state,No
6/29/20 16:19,Admitted,Architecture,Interior Design,3.93,30,In state,No
6/29/20 20:53,Admitted,Education,Special Education,3.78,25,In state,No
7/1/20 20:25,Admitted,CNS,Mathematics,3.81,86,In state,No
7/2/20 20:36,Denied,COLA,Psychology,3.76,60,In state,No
7/2/20 23:17,Denied,COLA,Government,3.8,60,In state,No
7/3/20 15:05,Admitted,Moody,Advertising,4,44,In state,Yes
7/3/20 17:38,Admitted,CNS,Computer Science,3.89,70,In state,No
7/3/20 17:39,Admitted,CNS,Computer Science,4,92,In state,No
7/7/20 17:36,Denied,CNS,Nutrition,3.4,40,In state,No
